code,category,met,description
09030,Miscellaneous,1.0,"Sitting: reading, book, newspaper, magazine"
09034,Miscellaneous,1.8,"sitting, typing or reading on a balance chair/stability ball"
09036,Miscellaneous,2.0,"watching tv, stepping during commercial breaks"
09040,Miscellaneous,1.3,"Sitting: writing, desk work, typing"
09050,Miscellaneous,1.3,"Standing: talking in person, on the phone, computer, text messaging, writing"
09055,Miscellaneous,1.3,"Sitting: talking in person, on the phone, computer, or text messaging, light effort"
09060,Miscellaneous,1.5,"Sitting - studying, general, including reading and/or writing, light effort"
09065,Miscellaneous,1.8,"Sitting - in class, general, including note-taking or class discussion"
09070,Miscellaneous,1.0,Standing - reading
09071,Miscellaneous,2.5,Standing: miscellaneous
09075,Miscellaneous,1.8,"Sitting: arts and crafts, carving wood, weaving, spinning wool, light effort"
09080,Miscellaneous,3.0,"Sitting: arts and crafts, carving wood, weaving, spinning wool, moderate effort"
09085,Miscellaneous,2.5,"Standing: arts and crafts, sand painting, carving, weaving, light effort"
09090,Miscellaneous,3.3,"Standing - arts and crafts, sand painting, carving, weaving, moderate effort"
09095,Miscellaneous,3.5,"Standing - arts and crafts, sand painting, carving, weaving, vigorous effort"
09100,Miscellaneous,1.5,"Retreat/family reunion activities involving sitting, relaxing, talking, eating"
09101,Miscellaneous,2.5,Retreat/family reunion activities involving playing games with children
09105,Miscellaneous,2.0,Touring/traveling/vacation involving riding in vehicle
09106,Miscellaneous,3.5,Touring/traveling/vacation involving walking
09110,Miscellaneous,2.5,"Camping involving standing, walking, sitting, light-to-moderate effort"
09115,Miscellaneous,1.5,"Sitting at a sporting event, spectator"
10010,Music Playing,1.8,"Accordion, sitting"
10020,Music Playing,2.3,"Cello, sitting"
10030,Music Playing,2.3,"Conducting orchestra, standing"
10035,Music Playing,2.5,"Double bass, standing"
10040,Music Playing,3.8,"Drums, sitting"
10045,Music Playing,3.0,"Drumming (e.g., bongo, conga, benbe), moderate, sitting"
10048,Music Playing,8.3,"Drumming, concert/live show"
10050,Music Playing,2.0,"Flute, sitting"
10060,Music Playing,1.8,"Horn, standing"
10070,Music Playing,2.3,"Piano, sitting"
10074,Music Playing,2.0,"Playing musical instruments, general"
10077,Music Playing,2.0,"Organ, sitting"
10080,Music Playing,3.5,"Trombone, standing"
10090,Music Playing,2.5,"Trumpet, standing"
10100,Music Playing,2.5,"Violin, sitting"
10110,Music Playing,1.8,"Woodwind instruments, sitting"
10115,Music Playing,1.8,"Brass instruments, sitting"
10120,Music Playing,2.0,"Guitar, classical, folk, sitting"
10125,Music Playing,3.0,"Guitar, rock and roll band, standing"
10130,Music Playing,4.0,"Marching band, baton twirling, walking, moderate pace, general"
10131,Music Playing,5.5,"Marching band, playing an instrument, walking, brisk pace, general"
10135,Music Playing,3.5,"Marching band, drum major, walking"
11000,Occupation,2.0,"Active workstation, Pedal desk, balance chair/ball, General, light effort"
11001,Occupation,3.5,"Active workstation, Pedal desk (40 watts)"
11002,Occupation,5.3,"Active workstation, Pedal desk (80 watts)"
11003,Occupation,2.0,"Active workstation, treadmill desk, walking slowly 1.0 mph or less"
11004,Occupation,2.8,"Active workstation, treadmill desk, walking 1.0 - 2.0 mph"
11006,Occupation,3.0,Airline flight attendant
11008,Occupation,4.8,Apple Harvesting
11010,Occupation,4.0,"Bakery, general, moderate effort"
11015,Occupation,2.0,"Bakery, light effort"
11020,Occupation,2.3,Bookbinding
11030,Occupation,6.0,"Building road, driving heavy machinery"
11035,Occupation,2.0,"Building road, directing traffic, standing"
11038,Occupation,2.5,"Carpentry, general, light effort"
11040,Occupation,4.3,"Carpentry, general, moderate effort"
11042,Occupation,7.0,"Carpentry, general, heavy or vigorous effort"
11050,Occupation,8.0,"Carrying heavy loads (e.g., bricks, tools)"
11060,Occupation,8.0,"Carrying moderate loads up stairs, moving boxes, 25-49 lbs"
11070,Occupation,4.0,"Chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart"
11072,Occupation,4.3,"Cleaning, vacuuming commercial space"
11080,Occupation,5.3,"Coal mining, drilling coal, rock"
11090,Occupation,5.0,"Coal mining, erecting supports"
11100,Occupation,5.5,"Coal mining, general"
11110,Occupation,6.3,"Coal mining, shoveling coal, by hand"
11115,Occupation,2.5,"Cook, chef"
11120,Occupation,4.0,"Construction, outside, remodeling, new structures (e.g., roof repair, miscellaneous)"
11124,Occupation,2.3,"Construction, rebar, bar bending/fixing"
11125,Occupation,2.3,"Custodial work, light effort (e.g., cleaning sink and toilet, dusting, vacuuming, light cleaning)"
11126,Occupation,3.8,"Custodial work, moderate effort (e.g., buffing floors with electric buffer, feathering or sweeping arena floors, mopping, taking out the trash, vaccuming)"
11130,Occupation,3.3,"Electrical work (e.g., hook up wire, tapping splicing); plumbing moved to11516"
11135,Occupation,1.8,"Engineer (e.g., mechanical or electrical)"
11145,Occupation,7.8,"Farming, vigorous effort (e.g., baling hay, cleaning barn), includes former code 11200"
11146,Occupation,4.8,"Farming, moderate effort (e.g., feeding animals, chasing cattle by walking and/or horseback, spreading manure, harvesting crops)"
11147,Occupation,2.0,"Farming, light effort, (e.g., cleaning animal sheds, preparing animal feed)"
11170,Occupation,2.8,"Farming, driving tasks (e.g., driving tractor or harvester)"
11180,Occupation,3.5,"Farming, feeding small animals"
11190,Occupation,4.3,"Farming, feeding cattle, horses"
11191,Occupation,4.3,"Farming, hauling water for animals, fetching water from well or stream"
11192,Occupation,4.5,"Farming, taking care of animals (e.g., grooming, brushing, shearing sheep, assisting with birthing, medical care, branding), general"
11195,Occupation,3.8,"Farming, rice, planting, grain milling activities"
11210,Occupation,3.5,"Farming, milking by hand, cleaning pails, moderate effort"
11220,Occupation,1.3,"Farming, milking by machine, light effort"
11222,Occupation,3.0,"Farming, milking Cows, full milking process, modern milking parlor with milking machines"
11240,Occupation,8.0,"Fire fighter, general"
11244,Occupation,6.8,"Fire fighter, rescue victim, automobile accident, using pike pole"
11245,Occupation,8.0,"Fire fighter, raising and climbing ladder with full gear, simulated fire suppression"
11246,Occupation,9.0,"Fire fighter, hauling hoses on ground, carrying/hoisting equipment, breaking down walls etc., wearing full gear"
11247,Occupation,3.5,"Fishing, commercial, light effort"
11248,Occupation,5.0,"Fishing, commercial, moderate effort"
11250,Occupation,17.5,"Forestry, ax chopping, very fast, 1.25 kg axe, 51 blows/min, extremely vigorous effort"
11260,Occupation,5.0,"Forestry, ax chopping, slow, 1.25 kg axe, 19 blows/min, moderate effort"
11262,Occupation,8.0,"Forestry, ax chopping, fast, 1.25 kg axe, 35 blows/min, vigorous effort"
11264,Occupation,5.0,"Forestry, moderate effort (e.g., sawing wood with power saw, weeding, hoeing)"
11266,Occupation,8.5,"Forestry, vigorous effort (e.g., barking, felling, or trimming trees, carrying or stacking logs, planting seeds, sawing lumber by hand )"
11370,Occupation,4.8,Furriery
11375,Occupation,3.8,"Garbage collector, walking, dumping bins into truck, street cleaning"
11378,Occupation,1.8,"Hairstylist (e.g., plaiting hair, manicure, make up artist)"
11380,Occupation,7.3,"Horse grooming, including feeding, cleaning stalls, bathing, brushing, clipping, longeing and exercising horses."
11381,Occupation,4.3,"Horse, feeding, watering, cleaning stalls, implied walking and lifting loads"
11383,Occupation,4.5,"Horseback riding, working, cutting cows"
11390,Occupation,7.8,"Horse racing, galloping, cantor"
11400,Occupation,6.3,"Horse racing, Jockey, trotting"
11410,Occupation,2.3,"Horse racing, Jockey, walking"
11413,Occupation,3.0,Kitchen maid
11415,Occupation,4.0,"Lawn keeper, yardwork, general"
11416,Occupation,3.0,"Lawn keeper, weeding, gas powered"
11418,Occupation,3.3,Laundry worker
11420,Occupation,3.0,Locksmith
11430,Occupation,3.0,"Machine tooling (e.g., machining, working sheet metal, machine fitter, operating lathe, welding) light-to-moderate effort"
11450,Occupation,5.0,"Machine tooling, operating punch press, moderate effort"
11472,Occupation,1.8,"Manager, property"
11475,Occupation,2.8,"Manual or unskilled labor, general, light effort"
11476,Occupation,4.5,"Manual or unskilled labor, general, moderate effort"
11477,Occupation,6.5,"Manual or unskilled labor, general, vigorous effort"
11480,Occupation,4.3,"Masonary, concrete, moderate effort"
11482,Occupation,2.5,"Masonry, concrete, light effort"
11485,Occupation,5.5,"Massage therapist, standing"
11486,Occupation,2.3,"Mail carrier, walking to deliver mail"
11487,Occupation,1.5,"Mail delivery, motorbike"
11488,Occupation,3.5,"Mail delivery, Electronically Assisted Bicycle"
11490,Occupation,7.5,"Moving, carrying or pushing heavy objects, 75 lbs or more, only active time (e.g., desks, moving van work)"
11493,Occupation,8.5,"Mining, general services, drilling, mining support jobs (mechanical, welding, pipe installation, general construction)"
11495,Occupation,12.0,"Skindiving or SCUBA diving as a frogman, Navy Seal"
11500,Occupation,2.5,"Operating heavy duty equipment, automated, not driving"
11510,Occupation,3.5,"Orange grove work, picking fruit"
11514,Occupation,3.3,"Painting, house, furniture, moderate effort"
11516,Occupation,3.0,Plumbing activities
11520,Occupation,2.0,"Printing, paper industry worker, standing"
11524,Occupation,3.8,"Police Officer, Walking"
11525,Occupation,2.5,"Police, directing traffic, standing"
11526,Occupation,2.0,"Police, driving a squad car, sitting"
11527,Occupation,1.3,"Police, riding in a squad car, sitting"
11528,Occupation,4.0,"Police, making an arrest, standing"
11529,Occupation,9.0,"Counter terrorism maneuvers, clearing building"
11530,Occupation,2.0,"Shoe repair, general"
11540,Occupation,7.3,"Shoveling, digging ditches"
11550,Occupation,8.8,"Shoveling, more than 16 lbs/minute, deep digging, vigorous effort"
11560,Occupation,5.0,"Shoveling, less than 10 lbs/minute, moderate effort"
11570,Occupation,6.5,"Shoveling, 10 to 15 lbs/minute, vigorous effort"
11580,Occupation,1.5,"Sitting tasks, light effort (e.g., office work, chemistry lab work, light assembly repair, watch repair, reading, desk work)"
11582,Occupation,1.3,"Sitting, computer work"
11583,Occupation,1.3,"Standing workstation, typing, computer work"
11585,Occupation,1.3,"Sitting meetings, light effort, general, and/or with talking involved (e.g., eating at a business meeting)"
11590,Occupation,2.5,"Sitting tasks, moderate effort (e.g. pushing heavy levers, riding mower/forklift, crane operation)"
11593,Occupation,2.8,"Sitting, teaching stretching or yoga, or light effort exercise classes"
11600,Occupation,1.8,"Standing tasks, light effort (e.g., bartending, store clerk, assembling, filing, duplicating, librarian, putting up a Christmas tree, standing and talking at work, changing clothes when teaching physical education)"
11610,Occupation,3.3,"Standing, light/moderate effort (e.g., assemble/repair heavy parts, welding, stocking parts, auto repair, packing boxes, nursing patient care, laundry)"
11615,Occupation,4.5,"Standing, moderate effort, lifting items continuously, 10 – 20 lbs, with limited walking or resting"
11620,Occupation,3.8,"Standing, moderate effort, intermittent lifting 50 lbs, hitch or twisting ropes"
11630,Occupation,4.5,"Standing, moderate/heavy tasks (e.g., lifting more than 50 lbs, masonry, painting, paper hanging)"
11650,Occupation,2.3,"Patient care, healthcare activites"
11660,Occupation,3.5,"Patient care, room cleaning/preperation"
11708,Occupation,5.3,"Steel mill, moderate effort (e.g., fettling, forging, tipping molds)"
11710,Occupation,8.3,"Steel mill, vigorous effort (e.g., hand rolling, merchant mill rolling, removing slag, tending furnace)"
11720,Occupation,2.3,"Tailoring, cutting fabric"
11730,Occupation,2.5,"Tailoring, general"
11740,Occupation,1.8,"Tailoring, hand sewing"
11750,Occupation,2.5,"Tailoring, machine sewing"
11760,Occupation,3.5,"Tailoring, pressing"
11763,Occupation,2.0,"Tailoring, weaving, light effort (e.g., finishing operations, washing, dyeing, inspecting cloth, counting yards, paperwork)"
11765,Occupation,4.0,"Tailoring, weaving, moderate effort (e.g., spinning and weaving operations, delivering boxes of yarn to spinners, loading of warp bean, pinwinding, conewinding, warping, cloth clutting)"
11766,Occupation,6.5,"Truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy loads"
11767,Occupation,2.0,"Truck driving, delivery truck, taxi, shuttlebus, school bus"
11770,Occupation,1.3,"Typing, electric, manual or computer"
11780,Occupation,6.3,"Using heavy power tools such as pneumatic tools (e.g., jackhammers, drills, etc.)"
11790,Occupation,7.8,"Using heavy tools (not power) such as shovel, pick, tunnel bar, spade"
11791,Occupation,2.0,"Walking on job, less than 2.0 mph, very slow speed, in office or lab area"
11792,Occupation,3.8,"Walking on job, 2.8 to 3.4 mph, in office, moderate speed, not carrying anything"
11793,Occupation,4.8,"Walking on job, 3.5 to 3.9 mph, in office, brisk speed, not carrying anything"
11795,Occupation,3.5,"Walking on job, 2.5 mph, slow speed, carrying light objects less than 25 lbs"
11796,Occupation,3.0,"Walking, gathering things at work, ready to leave"
11797,Occupation,3.8,"Walking, 2.5 mph, slow speed, carrying heavy objects more than 25 lbs"
11800,Occupation,4.5,"Walking, 3.0 mph, moderately and carrying light objects less than 25 lbs"
11805,Occupation,3.8,"Walking, pushing a wheelchair"
11810,Occupation,4.5,"Walking, 3.5 mph, briskly and carrying objects less than 25 lbs"
11820,Occupation,4.0,"Walking or walk downstairs or standing, carrying objects about 25 to 49 lbs"
11830,Occupation,5.5,"Walking or walk downstairs or standing, carrying objects about 50 to 74 lbs"
11840,Occupation,7.0,"Walking or walk downstairs or standing, carrying objects about 75 to 99 lbs"
11850,Occupation,7.3,"Walking or walk downstairs or standing, carrying objects about 100 lbs or more"
11860,Occupation,2.3,"Warehouse/Shipping Center, Loading/Unloading boxes"
11862,Occupation,4.3,"Warehouse/Shipping Center, Moving boxes (~5kg)"
11870,Occupation,3.0,"Working in scene shop, theater actor, backstage employee"
11880,Occupation,3.5,"Soldiers, military marching, unloaded 1.5-2.5 mph"
11882,Occupation,4.0,"Soldiers, military marching, 1.5-2.5 mph, 10 to 30 kg load"
11884,Occupation,5.0,"Airborne Shuffle, 2.5 to 3.5 mph, 20-30 kg load"
11886,Occupation,6.3,"Soldiers, military loaded marching, varying terrain, 25-40 kg load"
11887,Occupation,6.0,"Soldiers, walking, 2.8 mph, 5% grade, up to 21.5 kg load"
11888,Occupation,8.5,"Soldiers, walking, 2.8 mph, 10% grade, up to 21.5 kg load"
11889,Occupation,11.0,"Soldiers, walking, 2.8 mph, 15% grade, up to 21.5 kg load"
11892,Occupation,6.0,"Military activities, arterial field preparation, digging defensive positions"
12010,Running,6.0,Jog/walk combination (jogging component of less than 10 minutes) (Taylor Code 180)
12020,Running,7.5,"Jogging, general, self-selected pace"
12025,Running,4.8,"Jogging, in place"
12026,Running,3.3,Jogging 2.6 to 3.7 mph
12027,Running,4.5,Jogging on a mini-tramp
12028,Running,6.5,"Running, 4 to 4.2 mph (13 min/mile)"
12029,Running,7.8,Running 4.3 to 4.8 mph
12030,Running,8.5,"Running, 5.0 to 5.2 mph (12 min/mile)"
12045,Running,9.0,"Running, 5.5 -5.8 mph"
12050,Running,9.3,"Running, 6-6.3 mph (10 min/mile)"
12060,Running,10.5,"Running, 6.7 mph (9 min/mile)"
12070,Running,11.0,"Running, 7 mph (8.5 min/mile)"
12080,Running,11.8,"Running, 7.5 mph (8 min/mile)"
12090,Running,12.0,"Running, 8 mph (7.5 min/mile)"
12100,Running,12.5,"Running, 8.6 mph (7 min/mile)"
12110,Running,13.0,"Running, 9 mph (6.5 min/mile)"
12115,Running,14.8,"Running, 9.3 to 9.6 mph"
12120,Running,14.8,"Running, 10 mph (6 min/mile)"
12130,Running,16.8,"Running, 11 mph (5.5 min/mile)"
12132,Running,18.5,"Running, 12 mph (5.0 min/mile)"
12134,Running,19.8,"Running, 13 mph (4.6 min/mile)"
12135,Running,23.0,"Running, 14 mph (4.3 min/mile)"
12140,Running,9.3,"Running, cross country"
12145,Running,10.5,"Running, self-selected pace"
12150,Running,8.0,Running (Taylor Code 200)
12170,Running,15.0,"Running, stairs, up"
12180,Running,10.0,"Running, on a track, team practice"
12184,Running,18.0,"Running, on track, 500-1500m, competitive"
12186,Running,19.3,"Running, on track, 2000-3000m, competitive"
12190,Running,8.0,"Running, training, pushing a wheelchair or baby carrier"
12200,Running,13.3,"Running, marathon"
12255,Running,10.3,"Running uphill, 4.5mph, 5% incline"
12260,Running,13.3,"Running uphill, 6.0 mph, 5% incline"
12265,Running,15.5,"Running uphill, 7.0 mph, 5% incline"
12325,Running,17.5,"Running uphill, 5.0 to 5.9 mph, 15% incline"
12335,Running,8.8,"Running uphill, 0.6 to 0.79 mph, 30% incline"
12337,Running,10.3,"Running uphill, 0.8 to 0.99 mph, 30% incline"
12339,Running,11.8,"Running uphill, 1.0 to 1.19 mph, 30% incline"
12341,Running,13.5,"Running uphill, 1.2 to 1.39 mph, 30-40% incline"
12343,Running,14.8,"Running uphill, 1.4 to 1.59 mph, 30% incline"
12345,Running,16.3,"Running uphill, >1.6mph, 10-30% incline"
12350,Running,16.0,"Running, hilly terrain, ±100m change in elevation"
12352,Running,5.8,"Running downhill, 5.0 to 5.9 mph, -10% to -15%"
12353,Running,7.5,"Running downhill, 6.0 to 6.9 mph, -10% to -15%"
12355,Running,9.0,"Running downhill, 7.0 to 8.9 mph, -10% to -15%"
12358,Running,9.3,"Running downhill, 6.0 to 7.9 mph, -3% to -9%"
12361,Running,13.8,"Running downhill, 8.0 to 10.5 mph, -3% to -9%"
12405,Running,5.3,"Running/jogging, curved treadmill, 3.0 to 3.9 mph"
12408,Running,6.5,"Running/jogging, curved treadmill, 4.0 to 4.9 mph"
12410,Running,11.0,"Running curved treadmill, 5.0 to 5.9 mph"
12412,Running,12.0,"Running curved treadmill, 7.0 to 7.9 mph"
12414,Running,14.0,"Running curved treadmill, 8.0 to 8.9 mph"
12416,Running,16.8,"Running curved treadmill, 9.0 to 9.9 mph"
12508,Running,8.5,"Running, 5.0 - 5.9 mph, 1.0 to 3.0 kg backpack"
12510,Running,9.5,"Running, 6.0 - 6.9 mph, 1.0 to 3.0 kg backpack"
12512,Running,9.8,"Running, 7.0 - 7.9 mph, 1.0 to 3.0 kg backpack"
12514,Running,12.0,"Running, 8.0 - 8.9 mph, 1.0 to 3.0 kg backpack"
12555,Running,7.8,"Running, barefoot, 3.5-5.9 mph"
12560,Running,12.0,"Running, barefoot, 6.0-7.9 mph"
12565,Running,13.5,"Running, barefoot, 8.0-8.9 mph"
12585,Running,8.0,"Running, jogging stroller, indoors, 5 mph"
12588,Running,9.0,"Running, jogging stroller, indoors, 6 mph"
12593,Running,10.0,"Running, jogging stroller, outdoors, 5 mph"
12595,Running,11.5,"Running, jogging stroller, outdoors, 6 mph"
12600,Running,11.5,"Skipping, 5.5-6.0 mph"
12620,Running,13.0,"Triathlon, Running"
13000,Self Care,2.3,"Getting ready for bed, general, standing"
13009,Self Care,2.3,"Sitting on toilet, eliminating while standing or squatting"
13010,Self Care,1.5,"Bathing, sitting"
13020,Self Care,2.8,"Dressing, undressing, standing or sitting"
13030,Self Care,1.5,"Eating, sitting"
13035,Self Care,2.0,"Talking and eating or eating only, standing"
13036,Self Care,1.5,"Taking medication, sitting or standing"
13040,Self Care,2.0,"Grooming, washing hands, shaving, brushing teeth, putting on make-up, sitting or standing"
13045,Self Care,2.5,"Hairstyling, standing"
13046,Self Care,1.3,"Having hair or nails done by someone else, sitting"
13050,Self Care,2.0,"Showering, toweling off, standing"
14010,Sexual Activity,5.8,"Active, vigorous effort"
14020,Sexual Activity,3.0,"General, moderate effort"
14030,Sexual Activity,1.8,"Passive, light effort, kissing, hugging"
15000,Sports,5.5,"Alaska Native Games, Eskimo Olympics, general"
15010,Sports,4.3,Archery (non-hunting)
15020,Sports,7.0,"Badminton, competitive (Taylor Code 450)"
15025,Sports,9.0,"Badminton, competitive, match play"
15030,Sports,5.5,"Badminton, social singles and doubles, general"
15040,Sports,8.0,"Basketball, game (Taylor Code 490)"
15050,Sports,6.0,"Basketball, non-game, general (Taylor Code 480)"
15055,Sports,7.5,"Basketball, general"
15060,Sports,7.0,"Basketball, officiating (Taylor Code 500)"
15062,Sports,5.8,"Basketball, officiating"
15070,Sports,5.0,"Basketball, shooting baskets"
15072,Sports,9.3,"Basketball, drills, practice"
15080,Sports,2.5,Billiards
15090,Sports,3.0,Bowling (Taylor Code 390)
15092,Sports,3.8,"Bowling, indoor, bowling alley"
15100,Sports,12.3,"Boxing, in ring, general"
15110,Sports,5.8,"Boxing, punching bag"
15113,Sports,7.0,"Boxing, punching bag, 60 b/min"
15115,Sports,8.5,"Boxing, punching bag, 120 b/min"
15118,Sports,10.8,"Boxing, punching bag, 180 b/min"
15120,Sports,7.8,"Boxing, sparring"
15125,Sports,9.3,"Boxing, simulated boxing round, exercise"
15130,Sports,7.0,Broomball
15135,Sports,5.8,"Children’s games, adults playing (e.g., hopscotch, 4-square, dodge ball, playground apparatus, t-ball, tetherball, marbles, jacks, arcade games), moderate effort"
15138,Sports,6.0,"Cheerleading, gymnastic moves, competitive"
15140,Sports,4.0,"Coaching, football, soccer, basketball, baseball, swimming, etc."
15142,Sports,8.0,"Coaching, actively playing sport with players"
15150,Sports,4.8,"Cricket, batting, bowling, fielding"
15160,Sports,3.3,Croquet
15170,Sports,4.0,Curling
15180,Sports,2.5,"Darts, wall or lawn"
15190,Sports,6.0,"Drag racing, pushing or driving a car"
15192,Sports,8.5,"Auto racing, open wheel"
15195,Sports,7.8,Futsal
15200,Sports,6.0,"Fencing, general"
15203,Sports,9.8,"Fencing, epee, competitive"
15205,Sports,10.5,Floorball
15210,Sports,8.0,"Football, competitive"
15230,Sports,8.0,"Football, touch, flag, general (Taylor Code 510)"
15232,Sports,4.0,"Football, touch, flag, light effort"
15235,Sports,2.5,"Football or baseball, playing catch"
15240,Sports,3.0,"Frisbee playing, general"
15250,Sports,8.0,"Frisbee, ultimate"
15252,Sports,3.8,Frisbee golf
15255,Sports,4.5,"Golf, general"
15265,Sports,4.3,"Golf, walking, carrying clubs"
15270,Sports,3.5,"Golf, miniature, driving range"
15285,Sports,4.5,"Golf, walking, pulling clubs"
15290,Sports,3.5,"Golf, using power cart (Taylor Code 070)"
15300,Sports,3.8,"Gymnastics, general"
15310,Sports,4.0,Hacky sack
15320,Sports,12.0,"Handball, general (Taylor Code 520)"
15330,Sports,8.0,"Handball, team"
15335,Sports,4.0,"High ropes course, multiple elements"
15340,Sports,3.5,Hang gliding
15350,Sports,7.8,"Hockey, field"
15360,Sports,8.0,"Hockey, ice, general"
15362,Sports,10.0,"Hockey, ice, competitive"
15370,Sports,5.5,"Horseback riding, general"
15380,Sports,4.5,"Horse grooming, maintenance, saddling tasks"
15390,Sports,5.8,"Horseback riding, trotting"
15395,Sports,7.3,"Horseback riding, canter or gallop"
15400,Sports,3.8,"Horseback riding, walking"
15402,Sports,9.0,"Horseback riding, jumping"
15403,Sports,6.0,"Horseback riding, reining"
15406,Sports,2.1,"Horseback riding, simulator"
15408,Sports,1.8,"Horse cart, driving, standing or sitting"
15410,Sports,3.0,"Horseshoe pitching, quoits"
15420,Sports,12.0,Jai alai
15425,Sports,5.3,"Martial Arts, different types, slower pace, novice performers, practice"
15430,Sports,10.3,"Martial Arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwon do, tai-bo, Muay Thai boxing)"
15432,Sports,14.3,"Taekwondo, combat simulation"
15433,Sports,11.3,Judo
15440,Sports,4.0,Juggling
15444,Sports,6.5,"Kendo, kihon-keiko style, moderate intensity"
15445,Sports,9.6,"Kendo, kirikaeshi style, high intensity"
15446,Sports,11.3,"Kendo, kakari keiko style, very high intensity"
15450,Sports,7.0,Kickball
15455,Sports,5.5,Kung Fu Gymnastics
15457,Sports,7.3,Kickboxing
15460,Sports,8.0,Lacrosse
15465,Sports,3.3,"Lawn bowling, bocce ball, outdoor"
15470,Sports,4.0,"Motocross, off-road motor sports, all-terrain vehicle, general"
15475,Sports,5.3,"Motorcycle racing, Supormoto racing"
15477,Sports,7.0,Netball
15480,Sports,9.0,Orienteering
15490,Sports,10.0,"Paddleball, competitive"
15500,Sports,6.0,"Paddleball, casual, general (Taylor Code 460)"
15503,Sports,1.8,"Paragliding, moderate altitude"
15506,Sports,6.5,Prusik climbing
15510,Sports,8.0,"Polo, on horseback"
15520,Sports,10.0,"Racquetball, competitive"
15525,Sports,10.3,"Race Walking, 3.1 m/s (6.9 mph)"
15527,Sports,13.8,"Race Walking, 3.7 m/s (8.3 mph)"
15528,Sports,15.5,"Race Walking, racing speed, 4.0 m/s (8.95 mph)"
15530,Sports,7.0,"Racquetball, general (Taylor Code 470)"
15533,Sports,8.0,"Rock or mountain climbing (Taylor Code 060), (formerly code 17120)"
15534,Sports,8.8,"Rock climbing, free boulder"
15535,Sports,7.3,"Rock climbing, ascending rock, high difficulty"
15536,Sports,10.5,"Rock climbing, speed climbing, very difficult"
15537,Sports,5.8,"Rock climbing, ascending or traversing rock, low-to-moderate difficulty"
15538,Sports,10.5,"Rock climbing, treadwall, 4-6 m/min"
15539,Sports,10.5,"Rock climbing, treadwall, 7-10 m/min"
15540,Sports,5.0,"Rock climbing, rappelling"
15542,Sports,4.0,"Rodeo sports, general, light effort"
15544,Sports,5.5,"Rodeo sports, general, moderate effort"
15546,Sports,7.0,"Rodeo sports, general, vigorous effort"
15550,Sports,12.3,"Rope jumping, fast pace, 120-160 skips/min"
15551,Sports,11.8,"Rope jumping, moderate pace, general, 100 to 120 skips/min, 2 foot skip, plain bounce"
15552,Sports,8.3,"Rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce"
15554,Sports,10.0,"Rope jumping, double under or more"
15560,Sports,8.3,"Rugby, union, team, competitive"
15562,Sports,6.3,"Rugby, touch, non-competitive"
15570,Sports,3.0,Shuffleboard
15580,Sports,5.0,"Skateboarding, general, moderate effort"
15582,Sports,6.0,"Skateboarding, competitive, vigorous effort"
15590,Sports,7.0,"Skating, roller (Taylor Code 360)"
15591,Sports,7.5,"Roller blading, in-line skating, 14.4 km/h (9.0 mph), recreational pace"
15592,Sports,9.8,"Roller blading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training"
15593,Sports,12.3,"Roller blading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training"
15594,Sports,15.5,"Rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort"
15595,Sports,6.8,"Skateboard, longboard, 13.3 km/h, slow speed"
15596,Sports,8.3,"Skateboard, longboard, 16.2 km/h, typical speed"
15597,Sports,10.5,"Skateboard, longboard, 18.4 km/h, fast speed"
15600,Sports,3.5,"Skydiving, base-jumping, bungee jumping"
15605,Sports,9.5,"Soccer, competitive"
15610,Sports,7.0,"Soccer, casual, general (Taylor Code 540)"
15615,Sports,3.5,Walking football/soccer
15620,Sports,5.0,"Softball or baseball, fast or slow pitch, general, moderate effort (Taylor Code 440)"
15625,Sports,4.0,"Softball, practice"
15630,Sports,4.0,"Softball, officiating"
15640,Sports,6.0,"Softball, pitching"
15645,Sports,3.3,"Sports spectator, very excited, emotional, physically moving"
15650,Sports,12.0,Squash (Taylor Code 530)
15652,Sports,7.3,"Squash, general"
15660,Sports,4.0,"Table tennis, ping pong (Taylor Code 410)"
15670,Sports,3.3,"Tai chi, qi gong, general"
15672,Sports,1.5,"Tai chi, qi gong, sitting, light effort"
15674,Sports,6.0,"Tai chi chuan, Yang style"
15675,Sports,6.8,"Tennis, general, moderate effort"
15676,Sports,8.0,"Tennis, general, competitive"
15680,Sports,6.0,"Tennis, doubles (Taylor Code 430)"
15685,Sports,4.5,"Tennis, doubles"
15690,Sports,8.0,"Tennis, singles (Taylor Code 420)"
15695,Sports,5.0,"Tennis, hitting balls, non-game play, moderate effort"
15700,Sports,6.3,"Trampoline, recreational"
15702,Sports,10.3,"Trampoline, competitive"
15710,Sports,4.0,Volleyball (Taylor Code 400)
15711,Sports,6.0,"Volleyball, competitive, in gymnasium"
15720,Sports,3.0,"Volleyball, non-competitive, 6 - 9 member team, general"
15725,Sports,8.0,"Volleyball, beach, in sand"
15730,Sports,6.0,"Wrestling, competitive (one match = 5 minutes)"
